epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1678.15,0.46153,0.87132,1.02656,0.98349,0.5,0.4975,0.44775,0.56735,2.61063,0.93983,0.000306705,0.000306705,0.000306705
44,1684.96,0.74765,1.14028,0.97686,0.98349,0.5,0.4975,0.44775,0.56735,2.61063,0.93983,0.000308686,0.000308686,0.000308686
45,1692.97,0.5685,0.89082,1.00332,0.9877,0.5,0.4975,0.44775,0.55612,2.34085,0.91029,0.00031042,0.00031042,0.00031042
46,1700.72,0.63704,1.04688,1.0188,0.9877,0.5,0.4975,0.44775,0.55612,2.34085,0.91029,0.000311906,0.000311906,0.000311906
47,1709.14,0.61692,1.17893,1.05747,0.98936,0.5,0.4975,0.44775,0.53335,2.41749,0.9567,0.000313145,0.000313145,0.000313145
48,1715.85,0.71007,0.96996,1.14059,0.98936,0.5,0.4975,0.44775,0.53335,2.41749,0.9567,0.000314136,0.000314136,0.000314136
49,1722.7,0.58596,1.04065,0.9548,0.98844,0.5,0.51213,0.45799,0.50243,2.32538,0.99286,0.00031488,0.00031488,0.00031488
50,1729.94,0.48697,1.0658,0.96687,0.98844,0.5,0.51213,0.45799,0.50243,2.32538,0.99286,0.000315376,0.000315376,0.000315376
51,1737.05,0.51673,0.77217,0.95924,0.98454,0.5,0.54273,0.47036,0.68394,2.26479,1.04029,0.000315625,0.000315625,0.000315625
52,1744.09,0.54425,1.03889,0.94956,0.98454,0.5,0.54273,0.47036,0.68394,2.26479,1.04029,0.000315626,0.000315626,0.000315626
53,1751.27,0.51675,0.79958,0.97945,0.98454,0.5,0.54273,0.47036,0.68394,2.26479,1.04029,0.00031538,0.00031538,0.00031538
54,1758.32,0.67922,1.1109,0.99629,0.97874,0.5,0.58042,0.45199,0.79703,2.10316,1.07941,0.000314886,0.000314886,0.000314886
55,1765.44,0.63055,0.7887,0.94085,0.97874,0.5,0.58042,0.45199,0.79703,2.10316,1.07941,0.000314145,0.000314145,0.000314145
56,1775.64,0.56524,1.18743,0.90779,0.97874,0.5,0.58042,0.45199,0.79703,2.10316,1.07941,0.000313156,0.000313156,0.000313156
57,1783.14,0.59926,0.80046,1.00213,0.96907,0.5,0.597,0.48764,0.75486,2.05057,1.0417,0.00031192,0.00031192,0.00031192
58,1789.76,0.43382,0.70272,0.97945,0.96907,0.5,0.597,0.48764,0.75486,2.05057,1.0417,0.000310436,0.000310436,0.000310436
59,1796.51,0.85083,1.12667,1.17003,0.96907,0.5,0.597,0.48764,0.75486,2.05057,1.0417,0.000308705,0.000308705,0.000308705
60,1803.39,0.55395,0.77526,1.00727,0.88957,0.5,0.597,0.48764,0.76129,2.22768,1.05985,0.000306726,0.000306726,0.000306726
61,1810.89,0.51535,0.68411,0.97044,0.88957,0.5,0.597,0.48764,0.76129,2.22768,1.05985,0.0003045,0.0003045,0.0003045
62,1817.41,0.53676,0.90569,0.98617,0.88957,0.5,0.597,0.48764,0.76129,2.22768,1.05985,0.000302026,0.000302026,0.000302026
63,1824.3,0.49829,0.76872,0.90218,0.81714,0.5,0.62187,0.51003,0.64391,2.3953,1.02951,0.000299305,0.000299305,0.000299305
64,1830.72,0.51322,0.76917,0.94022,0.81714,0.5,0.62187,0.51003,0.64391,2.3953,1.02951,0.000296336,0.000296336,0.000296336
65,1836.97,0.52816,0.66972,0.94509,0.81714,0.5,0.62187,0.51003,0.64391,2.3953,1.02951,0.00029312,0.00029312,0.00029312
66,1843.6,0.56531,0.97246,1.01168,0.80894,0.5,0.58,0.44748,0.66801,2.57358,0.97214,0.000289656,0.000289656,0.000289656
67,1850.87,0.50007,0.71433,0.92116,0.80894,0.5,0.58,0.44748,0.66801,2.57358,0.97214,0.000285945,0.000285945,0.000285945
68,1859.11,0.46987,0.63166,0.89465,0.80894,0.5,0.58,0.44748,0.66801,2.57358,0.97214,0.000281986,0.000281986,0.000281986
69,1869.2,0.54671,0.71894,0.94795,0.26106,0.88706,0.58,0.4475,0.67615,2.61857,0.98329,0.00027778,0.00027778,0.00027778
70,1875.93,0.45816,0.62972,1.00891,0.26106,0.88706,0.58,0.4475,0.67615,2.61857,0.98329,0.000273326,0.000273326,0.000273326
71,1881.96,0.46375,0.69035,0.97448,0.26106,0.88706,0.58,0.4475,0.67615,2.61857,0.98329,0.000268625,0.000268625,0.000268625
72,1888.89,0.54387,0.71031,0.95962,0.82476,0.5,0.4975,0.3774,0.69486,2.52323,0.99327,0.000263676,0.000263676,0.000263676
73,1895.12,0.60835,0.73436,1.11817,0.82476,0.5,0.4975,0.3774,0.69486,2.52323,0.99327,0.00025848,0.00025848,0.00025848
74,1901.78,0.59448,0.68328,1.03268,0.82476,0.5,0.4975,0.3774,0.69486,2.52323,0.99327,0.000253036,0.000253036,0.000253036
75,1908.35,0.44307,0.55539,0.92194,0.82586,0.5,0.4975,0.3774,0.69533,2.2977,1.02928,0.000247345,0.000247345,0.000247345
76,1914.82,0.53924,1.05219,1.02024,0.82586,0.5,0.4975,0.3774,0.69533,2.2977,1.02928,0.000241406,0.000241406,0.000241406
77,1921.13,0.62549,0.7272,1.03778,0.82586,0.5,0.4975,0.3774,0.69533,2.2977,1.02928,0.00023522,0.00023522,0.00023522
78,1928.52,0.67474,0.87379,0.90537,0.83247,0.5,0.66333,0.55563,0.66544,1.98874,1.0087,0.000228786,0.000228786,0.000228786
79,1935.04,0.46186,0.72876,1.08786,0.83247,0.5,0.66333,0.55563,0.66544,1.98874,1.0087,0.000222105,0.000222105,0.000222105
80,1942.94,0.44493,0.6347,0.90229,0.83247,0.5,0.66333,0.55563,0.66544,1.98874,1.0087,0.000215176,0.000215176,0.000215176
81,1951,0.45156,0.66182,0.92494,0.9871,0.5,0.66333,0.57643,0.57248,1.63269,0.95423,0.000208,0.000208,0.000208
82,1957.79,0.65518,0.78329,0.93919,0.9871,0.5,0.66333,0.57643,0.57248,1.63269,0.95423,0.000200576,0.000200576,0.000200576
83,1965.46,0.38758,0.66745,0.90164,0.9871,0.5,0.66333,0.57643,0.57248,1.63269,0.95423,0.000192905,0.000192905,0.000192905
84,1971.97,0.36449,0.4754,0.88353,0.99841,0.5,0.66333,0.60959,0.46396,1.49487,0.91671,0.000184986,0.000184986,0.000184986
85,1978.08,0.4589,0.62249,0.87967,0.99841,0.5,0.66333,0.60959,0.46396,1.49487,0.91671,0.00017682,0.00017682,0.00017682
86,1984.17,0.31374,0.57037,0.85723,0.99841,0.5,0.66333,0.60959,0.46396,1.49487,0.91671,0.000168406,0.000168406,0.000168406
